OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101900130402.000000000000000,11,0.293137485307000
,101900130403.000000000000000,7,0.468731795895000
,101900130404.000000000000000,36,0.434194994286000
,101900130405.000000000000000,9,0.373671543509000
,101900130406.000000000000000,2,0.510657351510000
,101900130407.000000000000000,4,0.419793759679000
,101900130408.000000000000000,5,0.429484243885000
,101900130409.000000000000000,12,0.467222565721000
,101900140101.000000000000000,4,0.822787798346000
,101900140102.000000000000000,4,0.804290511150000
,101900140103.000000000000000,6,0.786190651789000
,101900140104.000000000000000,12,0.748809805626000
,101900140105.000000000000000,11,0.791004283036000
,101900140201.000000000000000,1,0.536404085927000
,101900140202.000000000000000,8,0.771241892737000
,101900140203.000000000000000,9,0.667402938378000
,101900140204.000000000000000,11,0.750633581612000
,101900140205.000000000000000,2,0.623450710743000
,101900140206.000000000000000,20,0.789279652865000
,101900140207.000000000000000,26,0.826443053976000
,101900140301.000000000000000,22,0.554633549138000
,101900140302.000000000000000,14,0.661780088637000
,101900140303.000000000000000,5,0.535801628631000
,101900140304.000000000000000,8,0.498687631164000
,101900140305.000000000000000,25,0.701132671289000
,101900140402.000000000000000,7,0.638616077161000
,101900140403.000000000000000,11,0.618606434429000
,101900140405.000000000000000,6,0.382659295694000
,101900140406.000000000000000,14,0.646059950803000
,101900140407.000000000000000,16,0.395196044292000
,101900150203.000000000000000,2,0.273705250850000
,101900160601.000000000000000,13,0.227356059001000
,101900160602.000000000000000,2,0.238351194250000
,101900160707.000000000000000,8,0.359841719882000
,101900170102.000000000000000,1,0.358621395310000
,101900170201.000000000000000,10,0.553737071302000
,101900170202.000000000000000,19,0.570073873495000
,101900170204.000000000000000,4,0.823153862267000
,101900170301.000000000000000,2,0.305335035538000
,101900180101.000000000000000,65,0.629668700561000
,101900180102.000000000000000,28,0.747176174677000
,101900180103.000000000000000,8,0.605833214796000
,101900180105.000000000000000,105,0.719131437805000
,102500010101.000000000000000,7,0.371856317356000
,102500010102.000000000000000,10,0.397533688320000
,102500010103.000000000000000,6,0.450868957163000
,102500010104.000000000000000,14,0.459455420017000
,102500010105.000000000000000,16,0.385030423090000
,102500010106.000000000000000,6,0.295267035686000
